key,fr_FR,es_ES,it_IT,pt_PT,en_GB
activite_production_1,Offset,Offset,Offset,Offset,Offset
activite_production_2,Numérique,Digital,Digitale,Digital,Digital
activite_production_3,Négoce,Negocio,Negoziato,Negócio,Trade
activite_production_4,Sérigraphie,Serigrafía,Serigrafia,Serigrafia,Screen printing
activite_production_5,Flexographie,Flexografía,Flessografia,Flexografia,Flexography
activite_production_6,Service,Departemento,Servizio,Departamento,Service
activite_production_7,Typographie,Offset,Offset,Offset,Offset
