,FR,ES,IT,PT,UK
valeur_228,"170g couché mat","170g Estucado mate","170g patinata opaca","170g Couché Mate","170gsm Silk Coated"
valeur_229,"250g couché satiné recyclé","250g Estucado Reciclado","250g Patinata Riciclata","250g Cyclus Print","250gsm Coated Recycled"
valeur_233,Sans,Sin,Senza,Sem,No
valeur_234,"80g Cyclus Office","80g Cyclus office","80g Cyclus Office","80g Cyclus Office","80gsm Cyclus Office"
valeur_235,"90g Opale recyclé","90g Offset reciclado","90g Opale riciclata","90g Offset Reciclado","90gsm Premium Smooth Recycled"
valeur_236,"90g offset laser","90g offset láser","90g Offset Laser","90g Offset laser","90gsm Offset Laser"
valeur_237,"100g Opale filigrané","100g Opale","100g Opale","100g Opale","100gsm premium smooth"
valeur_238,Noir,Negro,Nero,Preto,Black
valeur_245,Sans,Sin,Senza,Sem,No
valeur_246,Sans,Sin,Senza,Sem,No
valeur_248,"1 pli central (2 volets)",Un,"1 piega centrale (2 ante)",Um,4pp
valeur_249,Sans,Sin,Senza,Sem,No
valeur_252,"2 plis roulés (3 volets)","dos en cartera","2 pieghe avvolte (3 ante)","dois envolventes","6pp roll fold"
valeur_260,"Chemise 2 volets - Simple Rainage - Sans encoche","plantilla en hendido simple sin ranura","Cartellina 2 ante - cordonatura semplice - senza intaglio ","molde de vinco simples sem ranhura","4pp non capacity folder - no slits"
valeur_261,"Chemise 2 volets - Simple Rainage - Encoches avec entraxe 5,4 cm","plantilla en hendido simple con ranura tarjeta de visita vertical ","Cartellina 2 ante - cordonatura semplice - intagli verticali ","molde de vinco simples com ranhura cartão comercial vertical","4pp non capacity folder with portrait b/card slits"
valeur_262,"Chemise 2 volets - Simple Rainage - Encoches avec entraxe 8,5 cm","plantilla en hendido simple con ranura tarjeta de visita horizontal ","Cartellina 2 ante - cordonatura semplice - intagli orizzontali","molde de vinco simples com ranhura cartão comercial horizontal","4pp non capacity folder with landscape b/card slits"
valeur_263,"Chemise 2 volets - Double Rainage - Sans encoche","plantilla doble hendido sin ranura","Cartellina 2 ante - cordonatura doppia - senza intaglio","molde vinco duplo sem ranhura","4pp capacity folder - no slits"
valeur_264,"Chemise 2 volets - Double Rainage - Encoches avec entraxe 5,4 cm","plantilla doble hendido con ranura tarjeta de visita vertical","Cartelline 2 ante - doppia cordonatura - intagli verticali","molde vinco duplo com ranhura cartão comercial vertical","4pp capacity folder with portrait b/card slits"
valeur_265,"Chemise 2 volets - Double Rainage - Encoches avec entraxe 8,5 cm","plantilla doble hendido con ranura tarjeta de visita horizontal","Cartellina 2 ante - doppia cordonatura - intagli orizzontali ","molde vinco duplo com ranhura cartão comercial horizontal","4pp capacity folder with landscape b/card slits"
valeur_266,J+9,"10 días ","10 Giorni","10 dias",D+9
valeur_267,"Chemise 3 volets - Simple Rainage - Latéral - Sans encoche","Hendido simple solapa en pie + lateral sin ranura","Cartellina 3 ante - cordonatura semplice - laterale - senza intaglio","Vinco simples com aba abaixo + lado sem ranhura","6pp non capacity folder - no slits"
valeur_268,"Chemise 3 volets - Simple Rainage - Latéral - Encoches avec entraxe 5,4 cm","Hendido simple solapa en pie + lateral tarjeta de visita vertical","Cartellina 3 ante - cordonatura semplice - laterale - intagli verticali","Vinco simples com aba abaixo + lado cartão comercial vertical","6pp non capacity folder with portrait b/card slits"
valeur_269,"Chemise 3 volets - Simple Rainage - Latéral - Encoches avec entraxe 8,5 cm","Hendido simple solapa en pie + lateral con ranura tarjeta de visita horizontal","Cartellina 3 ante - cordonatura semplice - laterale - intagli orizzontali","Vinco simples com aba abaixo + lado cartão comercial horizontal","6pp non capacity folder with landscape b/card slits"
valeur_270,"Chemise 3 volets - Double Rainage - Latéral - Sans encoche","Doble hendido solapa en pie + lateral sin ranura","Cartellina 3 ante - doppia cordonatura - laterale - senza intaglio","Vinco duplo com aba abaixo + lado sem ranhura","6pp capacity folder - no slits"
valeur_271,"Chemise 3 volets - Double Rainage - Latéral - Encoches avec entraxe 5,4 cm","Doble hendido solapa en pie + lateral tarjeta de visita vertical","Cartellina 3 ante - doppia cordonatura - laterale - intagli verticali","Vinco duplo aba abaixo + lado cartão comercial vertical","6pp capacity folder with portrait b/card slits"
valeur_272,"Chemise 3 volets - Double Rainage - Latéral - Encoches avec entraxe 8,5 cm","Doble hendido solapa en pie + lateral con ranura tarjeta de visita horizontal","Cartellina 3 ante - doppia cordonatura - laterale - intagli orizzontali","Vinco duplo aba abaixo + lado com ranhura cartão comercial vertical","6pp capacity folder with landscape b/card slits"
valeur_273,"Chemise 3 volets - Simple Rainage - Central - Sans encoche","Hendido simple solapa central en pie","Cartellina 3 ante - cordonatura semplice - centrale - senza intaglio","Vinco simples com aba central abaixo","6pp non capacity folder - no slits"
valeur_274,"Chemise 3 volets - Simple Rainage - Central - Encoches avec entraxe 5,4 cm","Hendido simple solapa central en pie, tarjeta de visita vertical","Cartellina 3 ante - cordonatura semplice - centrale - intagli verticali","Vinco simples aba central abaixo, cartão comercial vertical","6pp non capacity folder with portrait b/card slits"
valeur_275,"Chemise 3 volets - Simple Rainage - Central - Encoches avec entraxe 8,5 cm","Hendido simple solapa central en pie con ranura tarjeta de visita horizontal","Cartellina 3 ante - cordonatura semplice - centrale - intagli orizzontali","Vinco simples aba central abaixo com ranhura cartão comercial horizontal","6pp non capacity folder with landscape b/card slits"
valeur_276,"Chemise 3 volets - Double Rainage - Central - Sans encoche","doble hendido solapa central en pie","Cartellina 3 ante - doppia cordonatura - centrale - senza intagli ","vinco duplo com aba central abaixo","6pp capacity folder - no slits"
valeur_277,"Chemise 3 volets - Double Rainage - Central - Encoches avec entraxe 5,4 cm","Doble hendido solapa central en pie tarjeta de visita vertical","Cartellina 3 ante - cordonatura doppia - centrale - intagli verticali","Vinco duplo com aba central abaixo cartão comercial vertical","6pp capacity folder with portrait b/card slits"
valeur_278,"Chemise 3 volets - Double Rainage - Central - Encoches avec entraxe 8,5 cm","Doble hendido solapa central en pie con ranura tarjeta de visita horizontal","Chemise 3 volets - Double Rainage - Central - Encoches horizontales","Vinco duplo aba central abaixo com ranhura cartão comercial horizontal","6pp capacity folder with landscape b/card slits"
valeur_279,"150g couché moderne brillant contrecollé sur compact 18/10","hoja 150g estucado brillante + cartón compact 18/10","150g patinata lucida + Cartone compatto 18/10 ","folha 150g couché brilho + cartão compact 18/10","150gsm Coated + 1800µ Carton Board"
valeur_280,"150g couché mat contrecollé sur compact 18/10","hoja 150g estucado mate + cartón compact 18/10","150g patinata opaca + Cartone compatto 18/10 ","folha 150g couché mate + cartão compact 18/10"
valeur_281,"Acrylique mat","Acrílico mate","Acrilico opaco","Acrílico mate","Matt varnish"
valeur_282,"Acrylique brillant","Acrílico brillante","Acrilico lucido","Acrílico brilho","Gloss varnish"
valeur_283,"Acrylique mat","Acrílico mate","Acrilico opaco","Acrílico mate","Matt varnish"
valeur_284,"Acrylique brillant","Acrílico brillante","Acrilico lucido","Acrílico brilho","Gloss varnish"
valeur_286,"1 perforation de 4 mm + œillet","simple 4 mm con ojal","1 foro da 4 mm + occhiello","simples 4 mm com ilhós","1 4mm hole-punch + eyelet"
valeur_287,"2 perforations de 4 mm + œillet + lien d'attache","doble 4 mm con ojal + cinta para colgar ","2 fori di 4 mm + occhielli + lien d attache","4 mm duplo com ilhós + fita para pendurar","2 4mm hole-punches + eyelets"
