,FR,ES,IT,PT,UK
valeur_470,"En tête","En cabecera","In testa","No cabeçalho",Heading
valeur_471,"En pied","En pié","Al piede","No rodapé",Footer
valeur_474,"80g offset repositionnable blanc","80g offset reposicionable blanco","80g Offset Riposizionabile Bianco","80g offset branco reposicionável","80gsm White Repositionable Offset "
valeur_475,Blanc,Blanco,Bianco,Branco,White
valeur_476,Paysage,Horizontal,Paesaggio,Paisagem,"Landscape "
valeur_477,Portrait,Vertical,Ritratto,Quadro,Portrait
valeur_481,"Polypropylène blanc 8/10","Polipropileno 8/10º blanco","Polipropilene 8/10° Bianco","Polipropileno 8/10º branco","1800µ Polypropylene"
valeur_482,"Polypropylène transparent 8/10 ","Polypropileno transparente 8/10 ","Polipropilene 8/10° Trasparente","Polipropileno 8/10º transparente","Transparent polypropylene 8/10"
valeur_483,J+12,"13 días","13 Giorni","13 dias",D+12
valeur_485,"1 pli décalé (2 volets)","uno descentrado (2 palas)","1 piega decentrata (2 ante)","uma dobra descentrada(2 laudas)","4pp off centred fold"
valeur_496,"Porte addition","Porta Cuentas","Porta conto",Porta-contas,"Bill presenter"
valeur_497,"Rond de serviette",Servilletero,"Fascette portatovaglioli",Porta-guardanapos,"Napkin rings"
valeur_498,"Pochette CD","Funda CD","Custodia CD","Envelope CD","CD Walet"
valeur_499,"80g offset laser","80g Offset Laser","80g Offset Laser","80g Offset Laser","80gsm Offset Laser"
valeur_502,"380g couché mat","380g Estucado Mate","380g Patinata Opaca","380g Couché Mate","380gsm Silk coated"
valeur_507,"110g tissu maille bloquée ignifugé M1","115g Tela bloqueada Ignífuga M1","tessuto 115g ignifugo M1","115g Tela bloqueada Anti-fogo M1","110gsm M1 fireproof fabric"
valeur_508,"250g satin blanc ignifugé M1","250g Satinado blanco Ignífugo M1","250g Satinata bianca Ignifuga M1","250g Acetinado Anti-fogo M1","250gsm Satin - Fire retardent M1"
valeur_509,"200g satin blanc","200g Satinado blanco","200g Satinata bianca","200g Acetinado branco","200gsm satin"
valeur_510,"200g satin encapsulé","200g Satinado Encapsulado","200g Satinata incapsulata","200g Acetinado Encapsulado","200gsm Gloss Encapsulated"
valeur_512,Etoile,Estrella,Stella,Estrela,"Star "
valeur_513,Rond,Círculo,Rotondo,Círculo,Circle
valeur_514,Nuage,Nube,Nuvola,Nuvem,Cloud
valeur_515,Coeur,Corazón,Cuore,Coração,"Heart "
valeur_516,"Accroche porte petit modèle",Picaporte,"Cartellino da porta piccolo modello",Trava,"Door hanger"
valeur_517,Bulle,Burbuja,Fumetto,Bolha,Bubble
valeur_518,"Moule à gâteau","Molde de pastel","Moule à gâteau","Molde de bolo","Cutting forms"
valeur_519,"Forme originale : outil à créer","Forma original: troquel a crear","Formato personalizzato: fustella da creare","Forma original: cortante a criar","Bespoke shape: new cutting tool"
valeur_522,"Coins ronds","Cantos redondeados","Angoli arrotondati","Cantos arredondados","Round corners"
valeur_524,"Forme originale : outil à créer","Forma original: troquel a crear","Formato personalizzato: fustella da creare","Forma original: cortante a criar","Bespoke shape: new cutting tool"
valeur_525,20,20,20,20,20
valeur_542,"1 couleur","1 color","1 colore","1 cor Pantone","1 colour"
valeur_543,"250g couché brillant UV","250g Estucado Brillante UV","250g Patinata Lucida","250g Couché brilho","250gsm Gloss UV Coated"
valeur_544,"550g bâche PVC","550g Lona PVC","550g Banner PVC","550g Lona PVC","550gsm PVC banner"
valeur_545,"420g bâche PVC ignifugé M1","420g Lona PVC M1","420g Banner PVC M1","420g Lona PVC M1","420gsm PVC banner - M1 Fire retardent"
valeur_546,Avec,Con,Con,Com,Included
valeur_547,Sans,Sin,Senza,Sem,No
valeur_549,Sans,Sin,Sans,Sem,No
valeur_550,Sans,Sin,Senza,Sem,No
valeur_553,"Découpe à la forme vectorielle","Troquelado vectorial","Taglio sagomato vettoriale","Cortante vectorial","Die cut"
valeur_554,"Micro-perforé One Way vision","Microperforado One Way Vision ","Microperforato One Way Vision","Microperfurado One Way Vision ","One Way Vision"
valeur_556,2,2,2,2,2
valeur_557,Sans,Sin,Senza,Sem,No
valeur_558,Avec,Con,Con,Com,Included
valeur_559,4,4,4,4,4
valeur_560,Bouddha,Buda,Bouddha,Buda,Buddha
valeur_569,"Doming : vinyle autocollant + résine polyuréthane bi-composante + colle standard",Doming,"Etichette resinate: PVC adesivo + poliuretano bicomponente + colla standard","Autocolante resina",Doming
valeur_570,"172µ : adhésif Avery opaque M1 62µ + support 110µ","172µ Adhesivo Avery 62µ + Soporte 110µ","172µ Adhésif Avery 62µ + Support 110µ","172µ Autocolante Avery 62µ + Suporte 110µ","172µ Avery Adhesive 62µ + Support 110µ"
valeur_571,"60g Celibio biodégradable blanc","	 	 	 60g Celibio Biodegradable Blanco","60g Celibio Biodegradabile Bianca","60g Celibio Biodegradável Branco","60gsm Celibio white biodegradable "
valeur_572,"17g ouate nature recyclée","17 gr. ouate natural reciclado","17g Ouate nature recyclée","17g Guata natural reciclada","17gsm natural recycled "
valeur_573,J+25,"26 días","26 Giorni","26 dias",D+25
valeur_574,"60g Celibio biodégradable couleur","	 	 	 60g Celibio Biodegradable Color","60g Celibio Biodégradable Couleur","60g Celibio Biodegradável Cor","60g Celibio Biodegradable (Colour)"
valeur_575,Avec,Con,Con,Com,Included
valeur_576,Sans,Sin,Senza,Sem,No
valeur_579,Sans,Sin,Senza,Sem,No
valeur_580,Vanille,Salmón,Salmone,Salmão,Vanilla
valeur_581,"120g papier offset","120g Offset FSC","120g Carta Offset","120g Offset FSC","120gsm Uncoated Paper"
valeur_582,J+30,"31 días","31 Giorni","31 dias",D+30
valeur_583,Sans,Sin,Senza,Sem,No
valeur_584,Sans,Sin,Senza,Sem,No
valeur_585,Sans,Sin,Senza,Sem,No
valeur_586,Sans,Sin,Senza,Sem,No
valeur_587,Blanche,Blanco,Bianca,Branco,White
valeur_588,Noire,Negro,Nero,Preto,Black
valeur_589,"120g offset laser","120g Offset Laser","120g Offset Laser","120g Offset Laser","120gsm Offset Laser"
valeur_590,Avec,Con,Con,Com,Included
valeur_591,Sans,Sin,Senza,Sem,No
valeur_592,"Magnet intérieur",Imán,Magnete,Iman,Magnet
valeur_593,"200g matière synthétique satinée (120µ)","200g Sintético","200g Sintetico","200g Sintético","Synthetic 200gsm"
valeur_594,"Ruban 2 cm 100 % tissu polyester","Cinta 2 cm tejido adhesivo","Nastro 2 cm tessuto poliestere","Fita 2 cm tecido autocolante","20mm polyester fabric"
valeur_595,"Gobelet 25 cl polypropylène translucide blanc","Vaso de plástico 33cl Blanco Translúcido","Bicchiere 33cl Bianco traslucido","Copo de plástico 33cl Branco Translúcido","33cl White translucent Cup"
valeur_596,"115g couché demi-mat","115g semi-mate","115g Semi opaca","115g Semi-mate","115gsm Silk Coated"
valeur_597,"250g couché brillant","250 gr. Estucado brillante","250g Patinata Lucida","250g Couché brilho","250gsm Gloss Coated"
valeur_598,"100g kraft brun","100g Kraft Marrón","100g Kraft Marrone","100g Kraft Castanho","100gsm Brown Kraft"
valeur_599,"100g kraft blanc","100g Kraft Blanco","100g Kraft Bianco","100g Kraft Branco","100gsm White Kraft"
valeur_600,"110g kraft brun","110g Kraft Marrón","110g Kraft Marrone","110g Kraft Castanho","110gsm Brown Kraft"
valeur_601,"110g kraft blanc","110g Kraft Blanco","110g Kraft Bianco","110g Kraft Branco","110gsm White Kraft"
valeur_602,"120g kraft brun","120g Kraft Marrón","120g Kraft Marrone","120g Kraft Castanho","120gsm Brown Kraft"
valeur_603,"120g kraft blanc","120g Kraft Blanco","120g Kraft Bianco","120g Kraft Branco","120gsm White Kraft"
valeur_604,"2 identiques","2 idénticas","2 identiche","2 idênticas","Common copy"
valeur_606,Sans,Sin,Senza,Sem,No
valeur_607,"140g tissu stretch ignifugé M1","140g Tejido Stretch ignifugado M1","140g Tessuto Stretch ignifugo M1","140g Tecido Stretch anti-fogo M1","140gsm Stretch Fabric - Fire retardent M1"
valeur_608,"117g tissu maille bloquée ignifugé M1","117g Malla bloqueada ignífuga M1","117g Maille bloquée Ignifugé M1","117g malha bloqueada anti-fogo M1","117gsm blocked link - Fire retardent M1"
valeur_609,"260g tissu polytrapièze Ignifugé M1","260g Lona Poliéster Ignífuga M1","260g tessuto ignifugo M1","260g Lona Poliester Anti-fogo M1"
valeur_611,"1 perforation de 4 mm",Una,"1 perforazione di 4 mm",Uma,"A 4mm drilled hole"
valeur_614,"Bords vifs",Vivo,"Plastica al vivo","Margens vivas","Clean edges"
valeur_615,"Bords soudés",Soldado,"Plastica debordante saldata","Margens soldadas","Welded edges"
valeur_616,Sans,Sin,Senza,Sem,No
valeur_617,"Dupli - 80g blanc CB / 170g blanc CF","Dupli - EB Blanco 80g / CF Blanco 170g","Dupli - CB Blanc 80g / CF Blanc 170g","Duplo - CB Branco 80g / CF Branco 170g","Duplicate: 80gsm Top  White / 170gsm Bottom White"
valeur_618,"Dupli - 60g blanc CB  / 60g jaune CF","Dupli - EB Blanco 62g / CF Amarillo 62g","Dupli - CB bianco 62g / CF giallo 62g","Duplo - CB Branco 62g / CF Amarelo 62g","Duplicate - 60gsm White / 60gsm Yellow"
valeur_619,"Tripli - 80g blanc CB / 60g blanc  CFB / 170g blanc CF","Tripli - EB Blanco 80g / CFB Blanco 60g / CF Blanco 170g ","Tripli - CB Blanc 80g / CFB Blanc 60g / CF Blanc 170g","Triplo -  CB Branco 80g / CFB Branco 60g / CF Branco 170g","Triplicate - 80gsm Top White / 60gsm Middle White / 170gsm Bottom White"
valeur_620,"Tripli - 60g blanc CB / 60g rose CFB / 60g jaune CF ","Tripli - EB Blanco 62g / CFB Rosa 60g / CF Amarillo 62g ","Tripli - CB bianco 62g / CFB rosa 62g / CF giallo 62g","Triplo -  CB Branco 62g / CFB Rosa 62g / CF Amarelo 62g","Triplicate - 60gsm White / 60gsm Pink / 60gsm Yellow"
valeur_621,"Petit côté","Lado corto","Lato corto","Lado curto","Short edge"
valeur_622,1,1,1,1,1
valeur_624,"50 liasses","50 paquetes","50 moduli","50 folhas","50 sets"
valeur_625,"Taurine Lemon",Limón,Limone,"Energética Limão",Lemon
valeur_626,"Taurine Orange",Naranja,Arancia,Laranja,Orange
valeur_627,"Taurine Cola",Cola,Cola,"Energética Cola",Cola
valeur_628,"Multifruits vitaminés ACE","Multifrutos vitaminados ACE","Multifrutti vitaminico ACE","Multifrutas vitaminado ACE","Multifruits AC and E Vitamins"
valeur_629,Isotonique,Isotónica,"Bevanda isotenica",Isotônica,Isotonic
valeur_630,Taurine,Taurina,Taurina,Energética,Taurine
valeur_631,"Taurine Light","Taurina Light","Taurina Light","Energética Light","Diet Taurine"
valeur_632,Guarana,Guarana,Guarana,Guaraná,"Guarana "
valeur_633,Intérieur,Interior,Interno,Dentro,"Inside "
valeur_634,Extérieur,Exterior,Esterno,Exterior,Outside
valeur_635,Fibre,Fibra,Fibra,Fibra,Fiber
valeur_636,Métal,Metal,Metallo,Metal,Metal
valeur_637,Blanche,Blanco,Bianca,Branco,White
valeur_638,2,2,2,2,2
valeur_639,4,4,4,4,4
valeur_641,4,4,4,4,4
valeur_642,"Or à chaud","Oro en caliente","Oro a caldo","Ouro a quente","Gold foil blocked"
valeur_643,"Argent à chaud","Plata en caliente","Argento a caldo","Prata a quente","Silver foil blocked"
valeur_644,Noire,Negro,Nero,Preto,Black
valeur_645,"Personnalisation dans l'image","Personalización en la imagen","Personnalizzazione nell'immagine","Personalização na imagem",
valeur_646,Sans,Sin,Senza,Sem,No
valeur_648,"200g couché brillant","200g estucado brillante","200g Patinata Lucida","200g Couché Brilho","200gsm Gloss Coated"
valeur_649,"Polypropylène Opaline 5/10","Polypropylene 8/10° Opaline","Polipropilene Opalino 5/10","Polipropileno 8/10° Opaline","Polypropylene 8/10"
valeur_650,Spirale,Espiral,Spirale,Espiral,Spiral
valeur_651,"Polypropylene 8/10° Opaline","Polipropileno 8/10º Opalina","Polipropilene 8/10° Opaline","Polipropileno 8/10º Opalina","Polypropylene 8/10°"
valeur_652,Chevalet,Cavallete,Cavalierino,Cavalete,Easel
valeur_653,"5 kg","5 kg","5 kg","5 kg",5kg
valeur_654,"10 kg","10 kg","10 kg","10 kg",10kg
valeur_655,"15 kg","15 kg","15 kg","15 kg",15kg
valeur_656,"250g Eco recyclé","250 gr. Eco reciclado","250g Eco Riciclata","250g Eco Reciclado","250gsm Eco Recycled "
valeur_657,Marque-page,Marca-páginas,Segna-pagine,Marca-páginas,"Page marker"
valeur_658,"115g couché brillant","115g Estucado Brillante","115g Patinata Lucida","115g Couché Brilho","115gsm Gloss Coated"
valeur_659,"150g couché brillant","150g Estucado Brillante","150g patinata lucida","150g Couché Brilho","150gsm Gloss Coated"
valeur_660,"150g couché demi-mat","150gr. semi-mate","150g semi-opaca","150g Semi-mate","150gsm Silk Coated"
valeur_661,"250g couché demi-mat","250g Semi Mate","250g Semi Opaca","250g Semi-mate","250gsm Silk Coated"
valeur_662,"300g couché demi-mat","300g Semi Mate","300g Semi Opaca","300g Semi-mate","300gsm Silk Coated"
valeur_665,"90g demi mat","90g Semi Mate","90g Semi Opaco","90g Semi-mate","90gsm Silk Coated"
valeur_666,"80g offset","80g Offset","80g Offset","80g Offset","80gsm Uncoated"
valeur_667,Sans,Sin,Senza,Sem,No
valeur_668,"120g offset blanc","120 gr. offset blanco","120g Offset bianco","120g Offset branco","120gsm White uncoated"
valeur_669,"90g offset fluo vert","90g Offset Fluo Verde","90g Offset Verde Fosforescente","90g Offset Fluo Verde","90gsm Uncoated Fluorescent Green"
valeur_670,"90g offset fluo jaune","90g Offset Fluo Amarillo","90g Offset Giallo Fosforescente","90g Offset Fluo Amarelo","90gsm Uncoated Fluorescent Yellow"
valeur_671,"90g offset fluo orange","90g Offset Fluo Naranja","90g Offset Arancione Fosforescente","90g Offset Fluo Laranja","90gsm Uncoated Fluorescent Orange"
valeur_672,"115g offset blanc dos bleu","115g Offset Dorso Azul","115g Offset Dorso Blu","115g Offset Verso Azul","115gsm Offset Blue Back"
valeur_673,"350g couché brillant","350g Estucado Brillante","350 Patinata Lucida","350g Couché Brilho","350gsm Gloss Coated"
valeur_674,"100g offset velin blanc Iceberg","100g Blanco Extremo","100g Offset Velin Blanc Iceberg","100g Branco Extremo","100gsm offset Iceberg White (Velin)"
valeur_675,"120g offset velin blanc","	 120g Blanco Extremo","120g Offset Velin Blanc","120g Branco Extremo","120gsm White Offset (Velin)"
valeur_678,"Routage sans enveloppe","Transporte sin sobre","Postalizzazione senza busta","Transporte sem envelope"," "
valeur_679,"Routage + mise sous enveloppe","Transporte + puesta en un sobre","Postalizzazione + imbustamento","Transporte + envelopado"," "
valeur_684,"8 pages","8 páginas","8 pagine","8 pág","8 pages"
valeur_685,"12 pages","12 páginas","12 pagine","12 pág","12 pages"
valeur_686,"16 pages","16 páginas","16 pagine","16 páginas","16 pages"
valeur_687,"20 pages","20 páginas","20 pagine","20 páginas","20 pages"
valeur_688,"24 pages","24 páginas","24 pagine","24 páginas","24 pages"
valeur_689,"28 pages","28 páginas","28 pagine","28 páginas","28 pages"
valeur_690,"32 pages","32 páginas","32 pagine","32 páginas","32 pages"
valeur_691,"36 pages","36 páginas","36 pagine","36 páginas","36 pages"
valeur_692,"40 pages","40 páginas","40 pagine","40 páginas","40 pages"
valeur_693,"44 pages","44 páginas","44 pagine","44 páginas","44 pages"
valeur_694,"48 pages","48 páginas","48 pagine","48 páginas","48 pages"
valeur_695,"52 pages","52 páginas","52 pagine","52 páginas","52 pages"
valeur_696,"56 pages","56 páginas","56 pagine","56 páginas","56 pages"
valeur_697,"60 pages","60 páginas","60 pagine","60 páginas","60 pages"
valeur_698,"64 pages","64 páginas","64 pagine","64 páginas","64 pages"
valeur_699,"72 pages","72 páginas","72 pagine","72 páginas","72 pages"
valeur_700,"80 pages","80 páginas","80 pagine","80 páginas","80 pages"
valeur_701,"88 pages","88 páginas","88 pagine","88 páginas","88 pages"
valeur_702,"96 pages","96 páginas","96 pagine","96 páginas","96 pages"
valeur_703,"100 pages","100 páginas","100 pagine","100 páginas","100 pages"
valeur_705,"120 pages","120 páginas","120 pagine","120 páginas","120 pages"
valeur_709,"148 pages","148 páginas","148 pagine","148 páginas","148 pages"
valeur_712,"Gobelets réutilisables","Cubiletes reutilizables","Bicchieri in plastica personalizzati","Copos reutilizáveis","Branded cup"
valeur_713,"Découpe Vinyle","Recorte vinilo","Prespiziati in PVC adesivo","Vinil de recorte","Vinyl cut"
valeur_714,"Bloc papier","Bloc papel","Blocco foglietti","Bloco de papel",Pad
valeur_715,"Bloc Repositionnable","Bloc reposicionable","Blocco riposizionabile","Bloco de notas autocolantes","Repositionable sticky pad"
valeur_716,"Pochette marque-page","Estuche marcapáginas","Custodia con segna-pagine","Estojo com marca-páginas","Wallet with page markers"
valeur_717,"Brochure dos carré collé","Catálogo encolado","Brochure rilegate con brossura fresata","Catálogo colado","Perfect bound brochures"
valeur_718,"Carte USB","Tarjeta USB","Card con memoria USB","Cartão USB","USB Card"
valeur_719,"Valisette polypropylène","Maletín polipropileno","Valigetta in polipropilene","Mala polipropileno","Polypropylene briefcase"
valeur_720,"Classeur polypropylène","Archivador polipropileno","Dossier in polipropilene","Arquivador polipropileno","Polypropylene Binder"
valeur_721,"Classeur contrecollé","Archivador contracolado","Dossier cartotecnico","Arquivador contracolado","Laminated binder"
valeur_722,"PLV de comptoir","Mostrador PLV","Cartelli da banco","Balcão PLV",Showcards
valeur_723,"Présentoir transparent","Dispensador transparente","Porta-depliant trasparente","Display transparente","Transparent display case"
valeur_724,"Tour de cou","Cinta de cuello","Fascetta da collo con moschettone","Fita de pescoço",Lanyards
valeur_725,"Sacs recyclables","Bolsas reciclables","Shopper di carta","Sacos recicláveis","Recyclable carrier bag"
valeur_726,"Canette publicitaire","Lata publicitaria","Lattine bevande personalizzate","Lata publicitária","Promotional cans"
valeur_727,"Calendrier spirale","Calendario espiral","Calendario con rilegatura a spirale","Calendário espiral","Wiro bound calendars"
valeur_728,"Book Grands Formats","Pack de ayuda","Pack con tutti i campioni","Pacote de ajuda","Wide Format Swatch book"
valeur_729,"Présentoir carton","Dispensador cartón","Porta-depliant cartotecnico","Display cartão","Leaflet dispensar"
valeur_731,"192 pages","192 páginas","192 pagine","192 páginas","192 pages"
valeur_732,"196 pages","196 páginas","196 pagine","196 páginas","196 pages"
valeur_735,"450g indéchirable","450gr. irrompible","450g Synaps OM","450g Synaps OM","450gsm tearproof"
valeur_742,Sans,Sin,Senza,Sem,No
valeur_747,sans,Sin,senza,Sem,Excluded
valeur_749,Sans,Sin,Senza,Sem,No
valeur_750,Sans,Sin,Senza,Sem,No
valeur_751,Sans,Sin,Senza,Sem,No
valeur_754,Sans,Sin,Senza,Sem,No
valeur_755,Sans,Sin,Senza,Sem,No
valeur_756,Avec,Con,Con,Com,Included
valeur_757,Sans,Sin,Senza,Sem,No
valeur_758,Avec,Con,Con,Com,Included
valeur_759,Sans,Sin,Senza,Sem,No
valeur_760,Avec,Con,Con,Com,Included
valeur_761,Sans,Sin,Senza,Sem,No
valeur_762,Avec,Con,Con,Com,Included
valeur_763,Sans,Sin,Senza,Sem,No
valeur_765,Sans,Sin,Senza,Sem,No
valeur_771,"grand côté","lado mayor","lato corto","lado grande","Long edge "
valeur_795,Sans,Sin,Senza,Sem,No
valeur_797,Sans,Sin,Senza,Sem,No
valeur_798,Sans,Sin,Senza,Sem,No
valeur_800,Satin,Satinado,Satinata,Acetinado,Silk
valeur_802,"Agrafage carnet","Libro grapado","Pinzatura quaderno","Livro agrafado","Stitched "
valeur_828,Sans,Sin,Senza,Sem,No
valeur_829,Identique,Idéntico,Identica,Idêntico,"Common copy"
valeur_830,Différente,Diferente,Diversa,Diferente,Different
valeur_831,"Dépoli translucide","Mate translúcido","Effetto sabbiato traslucido","Fosco translúcido","Translucent frosted"
valeur_832,Sans,Sin,Senza,Sem,No
valeur_833,Sans,Sin,Senza,Sem,No
valeur_915,Avec,Con,Con,Com,Included
valeur_916,Sans,Sin,Senza,Sem,No
valeur_917,Avec,Con,Con,Com,Included
valeur_973,"120g REH dos bleu","120g Mate REH Dorso Azul","120g Mat REH Dos Bleu","120g Mate REH Verso Azul","120gsm Matt Water resistant Blue Back"
valeur_974,Mat,Mate,Opaca,Mate,"Silk Coated"
valeur_975,Mat,Mate,Opaca,Mate,"Silk Coated"
valeur_980,"92 pages","92 páginas","92 pagine","92 páginas","92 pages"
valeur_981,"68 pages","68 páginas","68 pagine","68 páginas","68 pages"
valeur_984,"10 feuillets","10 hojas","10 foglietti","10 folhas","10 sheets"
valeur_991,"84 pages","84 páginas","84 pagine","84 páginas","84 pages"
valeur_996,"12 kg","12 kg","12 kg","12 kg",12kg
valeur_997,"6 kg","6 kg","6 kg","6 kg",6kg
valeur_1000,"690g Kapa®tex effet toile","690g Kapatex","690g Kapatex","690g Kapatex","690g Kapatex"
valeur_1001,2xRond,"2 x Redondo",2xRond,"2 x Redondo","2 x Round"
valeur_1002,"170g couché demi-mat","170g Satinado","170g Satinata","170g Semi mate","170gsm satin"
valeur_1003,"76 pages","76 páginas","76 pagine","76 págs.","76 pages"
valeur_1004,"110g kraft rouge","110g Kraft Rojo","110g Kraft rosso","110g Kraft Vermelho","110gsm Red Kraft"
valeur_1005,"110g kraft noir","110g Kraft Negro","110g Kraft nero","110g Kraft Preto","110gsm Black Kraft"
valeur_1008,12,12,12,12,12
valeur_1019,"12 feuillets","12 hojas","12 fogli","12 folhas","12 sheets"
valeur_1091,13,13,13,13,13
valeur_1092,"Spirale crochet",Espiral,"Spirale crochet",Espiral,"Spiral hook"
valeur_1093,"13 feuillets","13 hojas","13 fogli","13 folhas","13 sheets"
valeur_1100,Français,Francés,Francese,Francês,Yes
valeur_1101,Espagnol,Español,Spagnolo,Espanhol,Yes
valeur_1102,Portugais,Portugués,Portoghese,Português,Yes
valeur_1103,Italien,Italiano,Italiano,Italiano,Yes
valeur_1108,"690g Kapa®plast lisse","690g Kapatex liso","690g Kapatex liscio","690g Kapatex liso","Smooth 690g Kapatex"
valeur_1111,mat,Mate,opaca,mate,Matt
valeur_1112,brillant,Brillante,lucida,brilhante,glossy
valeur_1113,Sans,Sin,Senza,Sem,No
valeur_1116,"Motion Card","Motion Card","Motion Card","Motion Card",
valeur_1137,"260g tissu polyester ignifugé M1","260g Tela Poliester ignifuga M1","260g tessuto poliestere ignifugo M1","260g Tela Poliester anti-fogo M1","260g Polyester Fabric - Fire retardent M1"
valeur_1151,coche,técnico,clicca,técnico,Included
valeur_1166,"2 différents","2 diferentes","2 differenti","2 diferentes","2 different"
valeur_1173,Sans,Sin,Senza,Sem,Yes
valeur_1179,"290g Fedrigoni Lampone rouge","290g Fedrigoni Sirio Color Lampone","290g Fedrigoni Sirio Color Lampone","290g Fedrigoni Lampone vermelho","290gsm Fedrigoni Sirio Color Lampone"
valeur_1180,"290g Fedrigoni Nero noir","290g Fedrigoni Sirio Color Negro","290g Fedrigoni Sirio Color Nero","290g Fedrigoni Nero Preto","290gsm Fedrigoni Sirio Color Nero"
valeur_1181,"Mat Soft Touch","Mate soft touch","Opaca Soft Touch","Mate Soft Touch","Soft Touch"
valeur_1182,"Mat Soft Touch","Mate soft touch","Opaca Soft Touch","Mate Soft Touch","Soft Touch"
valeur_1183,"Vernis UV sélectif 3D","Barniz selectivo UV 3D","Vernice UV selettiva 3D","Verniz UV localizado 3D","3D Spot UV Varnish"
valeur_1184,"Vernis UV sélectif 3D","Barniz selectivo UV 3D","Vernice UV selettiva 3D","Verniz UV localizado 3D","3D Spot UV Varnish"
valeur_1185,"350g métallisé or","350g Metalizado dorado","350g Metallizzata Oro","350g Metalizado dourado","350gsm Metallic Gold"
valeur_1186,"350g métallisé argent","350g Metalizado Plata","350g Metallizzata Argent","350g Metalizado Prata","350gsm Metallic Silver"
valeur_1189,"300g Fedrigoni Aurum or","300g Fedrigoni Sirio Pearl Dorado","300g Fedrigoni Sirio Pearl Aurum","300g Fedrigoni Aurum ouro","300gsm Fedrigoni Sirio Pearl Aurum"
valeur_1190,"300g Fedrigoni Platinium argent","300g Fedrigoni Sirio Pearl Platino","300g Fedrigoni Sirio Pearl Platinium","300g Fedrigoni Platinium prata","300gsm Fedrigoni Sirio Pearl Platinium"
valeur_1191,"120g offset velin blanc supérieur","120g Offset Velin Blanco Superior","120g Offset Velin Blanc Supérieur","120g Offset Velin Branco Superior","120gsm Offset Velin Superior White"
valeur_1192,"175µ PET transparent brillant","175µ PET transparente brillante","175µ PET trasparente lucida","175µ PET transparente brilho","175µ PET gloss transparent"
valeur_1196,"Quadri + blanc","Cuatri. + blanco","Quadricromia + bianco","Quadri. + branco","4 colour + white"
valeur_1198,"300g carte graphique couché 1 face","300g Invercote Tarjeta estucada 1 cara","300g Inverkote Carta patinata 1 lato","300g cartão gráfico couché 1 face","300gsm Invercote Card - single side coated"
valeur_1204,"130g satin blanc dos bleu","135g Satinado blanco dorso azul","130g Satinata bianca - blue back","135g acetinado branco verso azul","130gsm white satin, blue backed"
valeur_1205,"120g offset fluo jaune - dos blanc","120g amarillo fluor - dorso blanco","120g Giallo fluo - retro bianco","120g amarelo fluorescente - verso branco","120gsm Fluorescent Yellow - white back"
valeur_1206,"150g satin blanc","150g Satinado Blanco","150g Satinata bianca","150g Acetinado Branco","150gsm White Satin "
valeur_1207,"220g papier photo très blanc","210µ Photo Brillante Blanco","210µ Photo lucida bianca","220g Photo Brilhante Branco","210µ Photo White Gloss"
valeur_1208,"150µ film Backlit polyester","150µ film Backlit polyester","150µ Film Backlit Poliestere  ","150µ Film Backlit Polyester","Backlit polyester 150µ"
valeur_1215,"450g bâche PVC ECO","450g Lona PVC ECO","450g Banner in PVC ECO","450g Lona PVC ECO","450gsm PVC Eco banner "
valeur_1217,"260g toile polyester ignifugé M1 Capotoile","260g Tela Capotoile Eco. Ignifuga M1","260g Tessuto Eco Ignifugo M1","260g Tecido Capotoile Eco. Anti-fogo M1","CAPOTOILE®: 260gsm polyester fabric - M1 Fire retardent"
valeur_1218,"Forex 4 mm","Forex 4 mm","Forex 4 mm","Forex 4 mm","Forex 4mm"
valeur_1228,"350g couché demi-mat","350 gr. estucado semi-mate","350g patinata semi-opaca","350g couché semi-mate","350gsm Silk Coated"
valeur_1250,"Coupe droite vectorielle","Corte recto vectorial","Taglio dritto vettoriale","Corte direito vectorial","Straight cut"
valeur_1252,"250g Bristol blanc","250g Bristol Blanco","250g Bristol Bianco","250g Bristol branco","250gsm White Bristol"
valeur_1265,"Kibox 10 mm","Kibox 10 mm","Kibox 10 mm","Kibox 10 mm","Kibox 10mm"
valeur_1281,Sans,Sin,Senza,Sem,No
valeur_1288,"350g couché demi-mat","350 gr. estucado semi-mate","350g patinata semi-opaca","350g couché semi-mate","350gsm Silk Coated "
valeur_1290,Statique,Estático,Statico,Estática,Static
valeur_1291,Personnalisée,Personalizada,Personalizzato,Personalizado,"Customised "
valeur_1292,Enrichie,Enriquecida,Arricchito,Enriquecido,Improved
valeur_1298,"Souple en nylon","Nylon suave","In nylon flessibile","Nylon flexível","Flexible Nylon"
valeur_1299,"Container à roulettes","Contenedor con ruedas","Contenitore con rotelle","Contentor com rodas","rolling containers "
valeur_1300,Sans,Sin,Senza,Sem,No
valeur_1301,Avec,Con,Con,Com,Included
valeur_1302,"65x250 cm","65x250 cm","62x250 cm","65x250 cm","650 x 2500mm"
valeur_1303,"70x350 cm","70x350 cm","70x350 cm","70x350 cm","700 x 3500mm"
valeur_1304,"80x515 cm","80x515 cm","80x515 cm","80x515 cm","800 x 5150mm"
valeur_1305,"65x200 cm","65x200 cm","65x200 cm","65x200 cm","650 x 2000mm"
valeur_1306,"80x310 cm","80x310 cm","80x310 cm","80x310 cm","800 x 310mm"
